Date,TLS_DM,Shift,Conv_POL,NIR_POL,Var_Pol
09/26/2024,ETS,8 - 4 SHIFT,11.15,12.4,1.25
09/26/2024,SITS,8 - 4 SHIFT,10.45,11.33,0.88
09/26/2024,DM,8 - 4 SHIFT,8.86,11.08,2.22
09/26/2024,DM,8 - 4 SHIFT,8.37,9.6,1.23
09/26/2024,DM,8 - 4 SHIFT,7.73,9.23,1.5
09/26/2024,DM,8 - 4 SHIFT,9.58,10.28,0.7
09/26/2024,DM,8 - 4 SHIFT,12.74,11.49,1.25
09/26/2024,DM,8 - 4 SHIFT,12.42,11.32,1.1
09/26/2024,DM,8 - 4 SHIFT,10.06,10.23,0.17
09/26/2024,DM,8 - 4 SHIFT,9.92,10.58,0.66
09/26/2024,ETS,4 - 12 SHIFT,11.44,11.02,0.42
09/26/2024,ETS,4 - 12 SHIFT,9.98,8.91,1.07
09/26/2024,CANITS,4 - 12 SHIFT,12.98,13.1,0.12
09/26/2024,LACATS,4 - 12 SHIFT,11.59,10.13,1.46
09/26/2024,MATS,4 - 12 SHIFT,11.89,11.39,0.5
09/26/2024,MATS,4 - 12 SHIFT,9.94,9.39,0.55
09/26/2024,MATS,4 - 12 SHIFT,8.84,8.73,0.11
09/26/2024,DM,4 - 12 SHIFT,13.28,12.57,0.71
09/27/2024,ETS,8 - 4 SHIFT,8.98,9.56,0.58
09/27/2024,CANITS,8 - 4 SHIFT,9.71,13.8,4.09
09/27/2024,MATS,8 - 4 SHIFT,7.88,7.81,0.07
09/27/2024,DM,8 - 4 SHIFT,11.66,10.8,0.86
09/27/2024,DM,8 - 4 SHIFT,9.48,8.77,0.71
09/27/2024,DM,8 - 4 SHIFT,10.84,11.32,0.48
09/27/2024,ETS,4 - 12 SHIFT,9.18,8.5,0.68
09/27/2024,MTS,4 - 12 SHIFT,12.5,11.28,1.22
09/27/2024,CANITS,4 - 12 SHIFT,10.81,10.75,0.06
09/27/2024,LACATS,4 - 12 SHIFT,9.59,8.31,1.28
09/27/2024,MUTS,4 - 12 SHIFT,8.1,7.56,0.54
09/27/2024,MATS,4 - 12 SHIFT,11.05,10.33,0.72
09/27/2024,DM,4 - 12 SHIFT,11.4,11.33,0.07
09/27/2024,DM,4 - 12 SHIFT,13.53,12.64,0.89
09/27/2024,DM,4 - 12 SHIFT,11.07,11.65,0.58
09/28/2024,ETS,8 - 4 SHIFT,10.5,10.67,0.17
09/28/2024,CANITS,8 - 4 SHIFT,12.04,13.1,1.06
09/28/2024,LACATS,8 - 4 SHIFT,8.85,8.49,0.36
09/28/2024,MUTS,8 - 4 SHIFT,8.52,8.03,0.49
09/28/2024,MATS,8 - 4 SHIFT,9.28,9.83,0.55
09/28/2024,SATS,8 - 4 SHIFT,10.19,9.43,0.76
09/28/2024,DM,8 - 4 SHIFT,10.46,11.06,0.6
09/28/2024,DM,8 - 4 SHIFT,11.04,10.38,0.66
09/28/2024,DM,8 - 4 SHIFT,9.29,10.52,1.23
09/28/2024,ETS,4 - 12 SHIFT,10.61,10.99,0.38
09/28/2024,MTS,4 - 12 SHIFT,10.66,11.78,1.12
09/28/2024,MATS,4 - 12 SHIFT,12.56,10.59,1.97
09/28/2024,DM,4 - 12 SHIFT,8.6,10.17,1.57
09/28/2024,DM,4 - 12 SHIFT,12.77,12.44,0.33
09/28/2024,DM,4 - 12 SHIFT,13.65,12.51,1.14
09/30/2024,ETS,8 - 4 SHIFT,9.26,9.35,0.09
09/30/2024,CANITS,8 - 4 SHIFT,10.69,12.65,1.96
09/30/2024,LACATS,8 - 4 SHIFT,10.66,10.75,0.09
09/30/2024,MATS,8 - 4 SHIFT,8.98,8.58,0.4
09/30/2024,DM,8 - 4 SHIFT,9.9,10.64,0.74
09/30/2024,DM,8 - 4 SHIFT,9.84,10.6,0.76
09/30/2024,DM,8 - 4 SHIFT,11.39,13.26,1.87
09/30/2024,ETS,4 - 12 SHIFT,10.36,9.81,0.55
09/30/2024,CANITS,4 - 12 SHIFT,12.28,12.5,0.22
09/30/2024,SITS,4 - 12 SHIFT,10.55,12.26,1.71
09/30/2024,LACATS,4 - 12 SHIFT,10.19,10.56,0.37
09/30/2024,MUTS,4 - 12 SHIFT,6.83,8.97,2.14
09/30/2024,MATS,4 - 12 SHIFT,8.8,8.23,0.57
09/30/2024,SATS,4 - 12 SHIFT,8.68,10.18,1.5
09/30/2024,DM,4 - 12 SHIFT,10.93,10.68,0.25
09/30/2024,DM,4 - 12 SHIFT,11.32,11.37,0.05
09/30/2024,DM,4 - 12 SHIFT,11.36,10.93,0.43
10/01/2024,ETS,12 - 8 SHIFT,12.66,12,0.66
10/01/2024,CANITS,12 - 8 SHIFT,10.14,9.69,0.45
10/01/2024,MTS,12 - 8 SHIFT,12.43,11.76,0.67
10/01/2024,SATS,12 - 8 SHIFT,9.44,9.49,0.05
10/01/2024,MUTS,12 - 8 SHIFT,8.7,8.54,0.16
10/01/2024,MATS,12 - 8 SHIFT,9.27,8.26,1.01
10/01/2024,DM,12 - 8 SHIFT,10.61,9.68,0.93
10/01/2024,DM,12 - 8 SHIFT,11.01,9.71,1.3
10/01/2024,DM,12 - 8 SHIFT,12.01,11.61,0.4
10/01/2024,ETS,8 - 4 SHIFT,10.67,10.25,0.42
10/01/2024,MTS,8 - 4 SHIFT,9.11,11.95,2.84
10/01/2024,CANITS,8 - 4 SHIFT,8.92,10.38,1.46
10/01/2024,SITS,8 - 4 SHIFT,10.57,12.78,2.21
10/01/2024,LACATS,8 - 4 SHIFT,9.65,8.59,1.06
10/01/2024,MATS,8 - 4 SHIFT,9.26,8.86,0.4
10/01/2024,SATS,8 - 4 SHIFT,9.3,10.19,0.89
10/01/2024,DM,8 - 4 SHIFT,11.05,10.39,0.66
10/01/2024,DM,8 - 4 SHIFT,10.48,9.72,0.76
10/01/2024,DM,8 - 4 SHIFT,12.56,11.65,0.91
10/01/2024,ETS,4 - 12 SHIFT,11.97,12.01,0.04
10/01/2024,MTS,4 - 12 SHIFT,11.71,10.17,1.54
10/01/2024,CANITS,4 - 12 SHIFT,11.45,12.82,1.37
10/01/2024,SITS,4 - 12 SHIFT,9.75,11.12,1.37
10/01/2024,LACATS,4 - 12 SHIFT,9.61,9.33,0.28
10/01/2024,MUTS,4 - 12 SHIFT,8.36,8.19,0.17
10/01/2024,MATS,4 - 12 SHIFT,10.06,9.6,0.46
10/01/2024,SATS,4 - 12 SHIFT,10.36,10.71,0.35
10/01/2024,DM,4 - 12 SHIFT,11.49,10.7,0.79
10/01/2024,DM,4 - 12 SHIFT,12.53,11.6,0.93
10/01/2024,DM,4 - 12 SHIFT,13.45,12.67,0.78
10/02/2024,ETS,12 - 8 SHIFT,13.21,12.63,0.58
10/02/2024,MTS,12 - 8 SHIFT,14.8,13.12,1.68
10/02/2024,MUTS,12 - 8 SHIFT,10.54,9.85,0.69
10/02/2024,MATS,12 - 8 SHIFT,10.58,8.77,1.81
10/02/2024,LACATS,12 - 8 SHIFT,9.95,9.13,0.82
10/02/2024,DM,12 - 8 SHIFT,11.08,10.26,0.82
10/02/2024,DM,12 - 8 SHIFT,10.94,10.43,0.51
10/02/2024,DM,12 - 8 SHIFT,10.76,10.08,0.68
10/02/2024,ETS,8 - 4 SHIFT,11.41,10.28,1.13
10/02/2024,MTS,8 - 4 SHIFT,10.55,11.13,0.58
10/02/2024,CANITS,8 - 4 SHIFT,11.94,11.13,0.81
10/02/2024,SITS,8 - 4 SHIFT,11.7,10.52,1.18
10/02/2024,MATS,8 - 4 SHIFT,11.32,10.56,0.76
10/02/2024,SATS,8 - 4 SHIFT,10.61,8.75,1.86
10/02/2024,DM,8 - 4 SHIFT,13.43,11.65,1.78
10/02/2024,DM,8 - 4 SHIFT,10.69,8.39,2.3
10/02/2024,DM,8 - 4 SHIFT,8.91,7.36,1.55
10/02/2024,ETS,4 - 12 SHIFT,11.06,10.03,1.03
10/02/2024,MTS,4 - 12 SHIFT,13.92,13.21,0.71
10/02/2024,CANITS,4 - 12 SHIFT,11.89,11.53,0.36
10/02/2024,LACATS,4 - 12 SHIFT,13.29,11.78,1.51
10/02/2024,MUTS,4 - 12 SHIFT,6.41,6.73,0.32
10/02/2024,MATS,4 - 12 SHIFT,8.55,9.32,0.77
10/02/2024,DM,4 - 12 SHIFT,12.97,11.95,1.02
10/02/2024,DM,4 - 12 SHIFT,10.86,10.23,0.63
10/02/2024,DM,4 - 12 SHIFT,12.41,11.04,1.37
10/03/2024,ETS,12 - 8 SHIFT,9.12,8.16,0.96
10/03/2024,CANITS,12 - 8 SHIFT,8.7,10.71,2.01
10/03/2024,MTS,12 - 8 SHIFT,13.59,11.03,2.56
10/03/2024,SITS,12 - 8 SHIFT,10.21,9.43,0.78
10/03/2024,MUTS,12 - 8 SHIFT,11.58,10.06,1.52
10/03/2024,MATS,12 - 8 SHIFT,10.4,8.53,1.87
10/03/2024,DM,12 - 8 SHIFT,11.6,10.06,1.54
10/03/2024,DM,12 - 8 SHIFT,9.49,9.28,0.21
10/03/2024,DM,12 - 8 SHIFT,10,9.69,0.31
10/03/2024,ETS,8 - 4 SHIFT,11.83,11.56,0.27
10/03/2024,MTS,8 - 4 SHIFT,10.33,10.14,0.19
10/03/2024,CANITS,8 - 4 SHIFT,11.06,11.97,0.91
10/03/2024,SITS,8 - 4 SHIFT,10.9,11.73,0.83
10/03/2024,MUTS,8 - 4 SHIFT,9.43,9.23,0.2
10/03/2024,MATS,8 - 4 SHIFT,8.41,7.78,0.63
10/03/2024,SATS,8 - 4 SHIFT,8.94,9.85,0.91
10/03/2024,DM,8 - 4 SHIFT,10.86,10.02,0.84
10/03/2024,DM,8 - 4 SHIFT,10.02,8.98,1.04
10/03/2024,DM,8 - 4 SHIFT,9.68,8.53,1.15
10/03/2024,ETS,4 - 12 SHIFT,5.95,7.78,1.83
10/03/2024,MTS,4 - 12 SHIFT,12.04,11.34,0.7
10/03/2024,CANITS,4 - 12 SHIFT,14.69,14.14,0.55
10/03/2024,SITS,4 - 12 SHIFT,13.47,13.36,0.11
10/03/2024,LACATS,4 - 12 SHIFT,10.04,10.59,0.55
10/03/2024,MUTS,4 - 12 SHIFT,10.04,10.04,0
10/03/2024,MATS,4 - 12 SHIFT,10.78,10.4,0.38
10/03/2024,SATS,4 - 12 SHIFT,9.8,9.5,0.3
10/03/2024,DM,4 - 12 SHIFT,11.45,11.11,0.34
10/03/2024,DM,4 - 12 SHIFT,13.18,12.12,1.06
10/03/2024,DM,4 - 12 SHIFT,13.44,12.81,0.63
10/03/2024,DM,4 - 12 SHIFT,11.3,14.07,2.77
10/04/2024,ETS,12 - 8 SHIFT,10.46,11.02,0.56
10/04/2024,CANITS,12 - 8 SHIFT,8.29,8.72,0.43
10/04/2024,MTS,12 - 8 SHIFT,12.16,12.46,0.3
10/04/2024,MUTS,12 - 8 SHIFT,8.54,9.45,0.91
10/04/2024,MATS,12 - 8 SHIFT,9.91,9.65,0.26
10/04/2024,LACATS,12 - 8 SHIFT,9.08,8.79,0.29
10/04/2024,DM,12 - 8 SHIFT,7.85,7.92,0.07
10/04/2024,DM,12 - 8 SHIFT,11.47,11.04,0.43
10/04/2024,DM,12 - 8 SHIFT,12.6,11.84,0.76
10/04/2024,ETS,8 - 4 SHIFT,12.15,13.22,1.07
10/04/2024,MTS,8 - 4 SHIFT,10.92,10.58,0.34
10/04/2024,CANITS,8 - 4 SHIFT,12.2,12.31,0.11
10/04/2024,SITS,8 - 4 SHIFT,11.93,12.34,0.41
10/04/2024,MATS,8 - 4 SHIFT,9.78,9.55,0.23
10/04/2024,SATS,8 - 4 SHIFT,10.97,11.77,0.8
10/04/2024,DM,8 - 4 SHIFT,10.77,10.46,0.31
10/04/2024,DM,8 - 4 SHIFT,9.77,8.9,0.87
10/04/2024,DM,8 - 4 SHIFT,10.82,10.17,0.65
10/04/2024,ETS,4 - 12 SHIFT,11.21,11.84,0.63
10/04/2024,CANITS,4 - 12 SHIFT,7.72,10.09,2.37
10/04/2024,SITS,4 - 12 SHIFT,10.63,10.24,0.39
10/04/2024,LACATS,4 - 12 SHIFT,4.77,5.9,1.13
10/04/2024,MUTS,4 - 12 SHIFT,8.85,9.72,0.87
10/04/2024,MATS,4 - 12 SHIFT,9.73,9.4,0.33
10/04/2024,SATS,4 - 12 SHIFT,8.52,9.64,1.12
10/04/2024,DM,4 - 12 SHIFT,12.54,13.39,0.85
10/04/2024,DM,4 - 12 SHIFT,8.44,8.41,0.03
10/04/2024,DM,4 - 12 SHIFT,10.37,10.42,0.05
10/04/2024,DM,4 - 12 SHIFT,11.08,11.79,0.71
10/05/2024,ETS,12 - 8 SHIFT,10.51,10.41,0.1
10/05/2024,CANITS,12 - 8 SHIFT,11.98,12.2,0.22
10/05/2024,MUTS,12 - 8 SHIFT,9.68,10.21,0.53
10/05/2024,MATS,12 - 8 SHIFT,9.17,8.68,0.49
10/05/2024,LACATS,12 - 8 SHIFT,8.34,7.67,0.67
10/05/2024,DM,12 - 8 SHIFT,10.37,10.08,0.29
10/05/2024,DM,12 - 8 SHIFT,10.63,9.97,0.66
10/05/2024,DM,12 - 8 SHIFT,12.28,11.89,0.39
10/05/2024,ETS,8 - 4 SHIFT,11.85,11.62,0.23
10/05/2024,MTS,8 - 4 SHIFT,12.99,11.69,1.3
10/05/2024,CANITS,8 - 4 SHIFT,11.43,11.9,0.47
10/05/2024,MATS,8 - 4 SHIFT,9.94,9.73,0.21
10/05/2024,SATS,8 - 4 SHIFT,9.17,11.34,2.17
10/05/2024,DM,8 - 4 SHIFT,9.63,9.67,0.04
10/05/2024,DM,8 - 4 SHIFT,8.92,8.25,0.67
10/05/2024,DM,8 - 4 SHIFT,10.61,11.42,0.81
10/05/2024,ETS,4 - 12 SHIFT,13.11,12.97,0.14
10/05/2024,MTS,4 - 12 SHIFT,13.39,13.2,0.19
10/05/2024,CANITS,4 - 12 SHIFT,7.74,8.85,1.11
10/05/2024,MUTS,4 - 12 SHIFT,9.15,9.19,0.04
10/05/2024,MATS,4 - 12 SHIFT,12.03,10.99,1.04
10/05/2024,MTS,4 - 12 SHIFT,12.88,13.05,0.17
10/05/2024,DM,4 - 12 SHIFT,10.45,9.8,0.65
10/05/2024,DM,4 - 12 SHIFT,11.08,10.2,0.88
10/05/2024,DM,4 - 12 SHIFT,9.3,10.27,0.97
10/06/2024,ETS,12 - 8 SHIFT,10.58,9.68,0.9
10/06/2024,DM,12 - 8 SHIFT,12.02,10.57,1.45
10/06/2024,DM,12 - 8 SHIFT,10.73,9.84,0.89
10/06/2024,DM,12 - 8 SHIFT,10.3,9.75,0.55
10/06/2024,CANITS,8 - 4 SHIFT,8.66,10.71,2.05
10/06/2024,SITS,8 - 4 SHIFT,10.29,11,0.71
10/06/2024,DM,8 - 4 SHIFT,10.41,9.04,1.37
10/06/2024,DM,8 - 4 SHIFT,9.91,9.34,0.57
10/06/2024,DM,8 - 4 SHIFT,8.73,9.01,0.28
10/07/2024,CANITS,8 - 4 SHIFT,12.1,12.31,0.21
10/07/2024,DM,8 - 4 SHIFT,10.29,8.75,1.54
10/07/2024,DM,8 - 4 SHIFT,11.61,9.88,1.73
10/07/2024,DM,8 - 4 SHIFT,11.96,10.85,1.11
10/07/2024,ETS,4 - 12 SHIFT,11.73,10.56,1.17
10/07/2024,MTS,4 - 12 SHIFT,11.72,12.26,0.54
10/07/2024,CANITS,4 - 12 SHIFT,12.91,11.66,1.25
